Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 1404.09, Georgia",13113140409,106811.56,
"Census Tract 1404.10, Georgia",13113140410,64400.09,
"Census Tract 1405, Georgia",13059140500,35708.9,
"Census Tract 1405.01, Georgia",13113140501,134071.69,
"Census Tract 1405.02, Georgia",13113140502,106315.25,
"Census Tract 1406, Georgia",13059140600,70130.93,
"Census Tract 15.01, Georgia",13139001501,96122.93,
"Census Tract 15.01, Georgia",13121001501,105741.15,
"Census Tract 15.02, Georgia",13139001502,114599.84,
"Census Tract 15.02, Georgia",13121001502,137257.63,
"Census Tract 1501.01, Georgia",13035150101,75992.78,
"Census Tract 1501.02, Georgia",13035150102,72326.7,
"Census Tract 1502.01, Georgia",13035150201,60638.17,
"Census Tract 1502.02, Georgia",13035150202,57039.49,
"Census Tract 1503, Georgia",13059150300,85963.37,
"Census Tract 1503, Georgia",13035150300,69274.7,
"Census Tract 1504, Georgia",13059150400,44378.58,
"Census Tract 1505, Georgia",13059150500,46132.66,
"Census Tract 1506, Georgia",13059150600,54287.73,
"Census Tract 1507.01, Georgia",13059150701,59007.26,
"Census Tract 1507.02, Georgia",13059150702,86188.12,
"Census Tract 1508, Georgia",13059150800,83243.45,
"Census Tract 1509, Georgia",13059150900,91415.13,
"Census Tract 16, Georgia",13121001600,133668.63,
"Census Tract 16.03, Georgia",13139001603,98611.26,
"Census Tract 16.05, Georgia",13139001605,122984.7,
"Census Tract 16.06, Georgia",13139001606,66731.99,
"Census Tract 16.07, Georgia",13139001607,99020.96,
"Census Tract 16.09, Georgia",13139001609,112069.59,
"Census Tract 16.10, Georgia",13139001610,102417.24,
"Census Tract 16.11, Georgia",13139001611,119633.44,
"Census Tract 16.12, Georgia",13139001612,102686.56,
"Census Tract 1601.01, Georgia",13255160101,53786.72,
"Census Tract 1601.02, Georgia",13255160102,54035.47,
"Census Tract 1602.01, Georgia",13255160201,69349.32,
"Census Tract 1602.02, Georgia",13255160202,82074.54,
"Census Tract 1603, Georgia",13255160300,41567.18,
"Census Tract 1605, Georgia",13255160500,63804.95,
"Census Tract 1606, Georgia",13255160600,74823.4,
"Census Tract 17, Georgia",13059001700,81876.06,
"Census Tract 17.01, Georgia",13121001701,121667.21,
"Census Tract 17.02, Georgia",13121001702,134796.44,
"Census Tract 17.03, Georgia",13115001703,68712.19,
"Census Tract 17.04, Georgia",13115001704,71212.37,
"Census Tract 17.05, Georgia",13115001705,61277.82,
"Census Tract 17.06, Georgia",13115001706,76491.62,
"Census Tract 1701.01, Georgia",13077170101,98840.8,
"Census Tract 1701.02, Georgia",13077170102,79674.14,
"Census Tract 1702, Georgia",13077170200,74471.81,
"Census Tract 1703.03, Georgia",13077170303,140172.99,
"Census Tract 1703.04, Georgia",13077170304,107533.96,
"Census Tract 1703.07, Georgia",13077170307,62949.93,
"Census Tract 1703.08, Georgia",13077170308,68196.64,
"Census Tract 1703.09, Georgia",13077170309,96352.59,
"Census Tract 1703.10, Georgia",13077170310,111936.61,
"Census Tract 1704.03, Georgia",13077170403,138182.08,
"Census Tract 1704.04, Georgia",13077170404,127484.59,
"Census Tract 1704.05, Georgia",13077170405,106079.55,
"Census Tract 1704.06, Georgia",13077170406,149000.08,
"Census Tract 1704.07, Georgia",13077170407,51655.05,
"Census Tract 1704.08, Georgia",13077170408,127354.46,
"Census Tract 1705.01, Georgia",13077170501,95117.88,
"Census Tract 1705.02, Georgia",13077170502,101753.77,
"Census Tract 1705.03, Georgia",13077170503,107775.8,
"Census Tract 1706.03, Georgia",13077170603,107540.2,
"Census Tract 1706.04, Georgia",13077170604,62068.97,
"Census Tract 1706.05, Georgia",13077170605,73518.09,
"Census Tract 1706.06, Georgia",13077170606,111884.33,
"Census Tract 1706.07, Georgia",13077170607,133869.05,
"Census Tract 1707.01, Georgia",13077170701,81205.72,
"Census Tract 1707.02, Georgia",13077170702,88321.22,
"Census Tract 1708.01, Georgia",13077170801,85558.9,
"Census Tract 1708.02, Georgia",13077170802,99631.43,
"Census Tract 18, Georgia",13115001800,65934.35,
"Census Tract 18, Georgia",13059001800,83120.9,
"Census Tract 18.01, Georgia",13121001801,69876.49,
"Census Tract 18.02, Georgia",13121001802,85399.76,
"Census Tract 1801.03, Georgia",13013180103,115681.43,
"Census Tract 1801.04, Georgia",13013180104,78876.25,
"Census Tract 1801.05, Georgia",13013180105,91913.75,
"Census Tract 1801.06, Georgia",13013180106,63460.91,
"Census Tract 1801.07, Georgia",13013180107,73057.14,
"Census Tract 1801.08, Georgia",13013180108,76238.97,
"Census Tract 1802.03, Georgia",13013180203,47717.7,
"Census Tract 1802.04, Georgia",13013180204,65230.74,
"Census Tract 1802.05, Georgia",13013180205,63222.72,
"Census Tract 1802.06, Georgia",13013180206,75838.94,
"Census Tract 1803.01, Georgia",13013180301,70863.52,
"Census Tract 1803.02, Georgia",13013180302,72911.69,
"Census Tract 1803.03, Georgia",13013180303,94461.74,
"Census Tract 1804.01, Georgia",13013180401,102839.93,
"Census Tract 1804.02, Georgia",13013180402,70545.85,
"Census Tract 1805.01, Georgia",13013180501,85775.82,
"Census Tract 1805.02, Georgia",13013180502,81422.65,
"Census Tract 1805.03, Georgia",13013180503,71832.17,
"Census Tract 19, Georgia",13059001900,79484.98,
"Census Tract 19.01, Georgia",13121001901,23554.15,
"Census Tract 19.02, Georgia",13121001902,98487.01,
"Census Tract 2, Alabama",01111000200,65176.37,
"Census Tract 2.01, Georgia",13121000201,188518.98,
"Census Tract 2.02, Georgia",13121000202,248725.1,
"Census Tract 20, Georgia",13115002000,73483.07,
"Census Tract 20, Georgia",13059002000,95114.64,
"Census Tract 201, Georgia",13195020100,64674.28,
"Census Tract 201, Georgia",13089020100,216803.41,
"Census Tract 202, Georgia",13195020200,67947.16,
"Census Tract 202, Georgia",13089020200,158993.41,
"Census Tract 203, Georgia",13195020300,67201.97,
"Census Tract 203, Georgia",13089020300,211000.41,
"Census Tract 204, Georgia",13195020400,78386.31,
"Census Tract 204, Georgia",13089020400,193021.33,
"Census Tract 205, Georgia",13089020500,112228.01,
"Census Tract 205.01, Georgia",13195020501,62062.74,
"Census Tract 205.02, Georgia",13195020502,68236.29,
"Census Tract 206, Georgia",13195020600,71778.15,
